Model,Old center,Sign-fixed center,Change,New pooled 90% interval,Cost / successful run
Claude Haiku 4.5,-0.111,-0.097,0.013,"[-0.34, 0.04973]",0.0032
Claude Opus 4.6,-0.063,-0.1,-0.037,"[-0.3, 1.11e-15]",0.0178
Claude Sonnet 4.6,-0.1,-0.1,0.0,"[-0.3498, 0.04631]",0.0112
GPT-5.4,-0.067,-0.072,-0.005,"[-0.2917, 0.06598]",0.0034
GPT-5.4 mini,-0.064,-0.069,-0.005,"[-0.2477, 0.08184]",0.001
GPT-5.4 nano,-0.055,-0.049,0.005,"[-0.344, 0.2575]",0.0003
Gemini 3 Flash,-0.05,-0.06,-0.01,"[-0.27, -3.586e-06]",0.0011
Gemini 3.1 Flash-Lite,-0.051,-0.067,-0.016,"[-0.3515, 0.03794]",0.0007
Gemini 3.1 Pro,-0.055,-0.07,-0.015,"[-0.2482, 0.0183]",0.0083
Grok 4.1 Fast,0.09,-0.097,-0.187,"[-0.4985, 0.2859]",0.0003
Grok 4.20,-0.091,-0.1,-0.009,"[-0.3995, 0.1497]",0.011
