Model,ETI median [90%],Utilitarian top rate median [90%],Top-rate 90% width (pp)
Gemini 3.1 Pro,"0.351 [0.103, 0.868]","44.0% [24.1%, 72.7%]",48.7
Gemini 3.1 Flash-Lite,"0.389 [0.101, 0.951]","41.5% [22.5%, 73.1%]",50.7
Claude Opus 4.7,"0.400 [0.123, 0.993]","40.8% [21.7%, 69.1%]",47.4
Gemini 3 Flash,"0.400 [0.131, 1.040]","40.8% [20.9%, 67.8%]",46.8
Grok 4.1 Fast,"0.400 [0.109, 1.191]","40.8% [18.8%, 71.6%]",52.9
GPT-5.4,"0.420 [0.150, 0.996]","39.6% [21.7%, 64.7%]",43.1
GPT-5.4 mini,"0.437 [0.116, 1.377]","38.7% [16.7%, 70.4%]",53.8
Claude Sonnet 4.6,"0.500 [0.138, 1.282]","35.5% [17.7%, 66.6%]",49.0
Grok 4.20,"0.500 [0.174, 1.243]","35.5% [18.1%, 61.3%]",43.2
Claude Haiku 4.5,"0.502 [0.145, 1.299]","35.4% [17.5%, 65.5%]",48.0
GPT-5.4 nano,"0.546 [0.151, 1.461]","33.5% [15.9%, 64.6%]",48.7
