model_name,quantities,successful_runs,expected_runs,success_rate,total_cost_usd,cost_per_successful_run_usd,mean_pooled_interval_width,mean_pooled_point_estimate
claude-haiku-4.5,22,330,330,1.0,1.021635,0.0030958636363636366,0.8451738094934005,0.3526969696969697
claude-opus-4.6,22,330,330,1.0,5.728975,0.017360530303030305,0.7587220240430047,0.2786363636363636
claude-sonnet-4.6,22,330,330,1.0,3.619155,0.010967136363636365,0.9201683575099593,0.3294848484848485
gemini-3-flash-preview,22,330,330,1.0,0.338082,0.001024490909090909,0.9360967496638238,0.2512121212121212
gemini-3.1-flash-lite-preview,22,330,330,1.0,0.24384150000000002,0.0007389136363636364,0.903762735874324,0.24678787878787878
gemini-3.1-pro-preview,22,329,330,0.996969696969697,2.751974,0.008364662613981763,0.8083704973294686,0.31536796536796535
gpt-5.4,22,330,330,1.0,1.133,0.0034333333333333334,0.8940988794066306,0.29963636363636365
gpt-5.4-mini,22,330,330,1.0,0.314403,0.0009527363636363636,1.3665133087323715,0.3113333333333333
gpt-5.4-nano,22,330,330,1.0,0.09684140000000001,0.0002934587878787879,1.5681674914184596,0.527
grok-4.1-fast,22,330,330,1.0,0.09971754999999999,0.0003021743939393939,1.3376273291272225,0.3115151515151515
grok-4.20,22,292,330,0.8848484848484849,2.8663264,0.009816186301369864,1.3406754953644855,0.363024778252051
