model_name,citation,count,share_of_all_citations,unique_citations,top1_share,top3_share,mean_citations_per_run
gpt-5.4,Chetty et al. (2011),20,0.25,,,,
gpt-5.4,Keane and Rogerson (2012),17,0.2125,,,,
gpt-5.4,Peterman (2016),13,0.1625,,,,
gpt-5.4,OG-USA/OG-Core documentation,4,0.05,,,,
gpt-5.4,OG-Core/OG-USA documentation,4,0.05,,,,
gpt-5.4,Reichling and Whalen (2012),3,0.0375,,,,
gpt-5.4,Keane (2011),3,0.0375,,,,
gpt-5.4,OG-Core/OG-USA model documentation,3,0.0375,,,,
gpt-5.4,OG-USA / OG-Core model documentation,2,0.025,,,,
gpt-5.4,MaCurdy (1981),2,0.025,,,,
gpt-5.4,__SUMMARY__,80,,17,0.25,0.625,4.0
gpt-5.4-mini,Chetty et al. (2011),19,0.2375,,,,
gpt-5.4-mini,Peterman (2016),10,0.125,,,,
gpt-5.4-mini,OG-USA / OG-Core documentation,8,0.1,,,,
gpt-5.4-mini,MaCurdy (1981),6,0.075,,,,
gpt-5.4-mini,Keane and Rogerson (2012),4,0.05,,,,
gpt-5.4-mini,Trabandt and Uhlig (2011),3,0.0375,,,,
gpt-5.4-mini,"Bick, Fuchs-Schündeln, and Lagakos (2018)",2,0.025,,,,
gpt-5.4-mini,Hall (2009),2,0.025,,,,
gpt-5.4-mini,Chang and Kim (2006),2,0.025,,,,
gpt-5.4-mini,Alvarez and Arellano (2022),1,0.0125,,,,
gpt-5.4-mini,__SUMMARY__,80,,33,0.2375,0.4625,4.0
gpt-5.4-nano,Chetty et al. (2011),16,0.20253164556962025,,,,
gpt-5.4-nano,Trabandt and Uhlig (2011),11,0.13924050632911392,,,,
gpt-5.4-nano,Bick and Fuchs-Schündeln (2018),4,0.05063291139240506,,,,
gpt-5.4-nano,"Chetty, Friedman, Saez (2011)",2,0.02531645569620253,,,,
gpt-5.4-nano,"Alesina, Glaeser, and Sacerdote (2005)",1,0.012658227848101266,,,,
gpt-5.4-nano,OG-Core / OG-USA model documentation (2016-2020 versions),1,0.012658227848101266,,,,
gpt-5.4-nano,"Chetty, Friedman, Olsen (2011)",1,0.012658227848101266,,,,
gpt-5.4-nano,"Attanasio, Low, Sanchez-Marcos (2008)",1,0.012658227848101266,,,,
gpt-5.4-nano,Cesarini et al. (2017),1,0.012658227848101266,,,,
gpt-5.4-nano,OG-Core / OG-USA (Golosov et al.; economic model documentation),1,0.012658227848101266,,,,
gpt-5.4-nano,__SUMMARY__,79,,50,0.20253164556962025,0.3924050632911392,3.95
