model_name,sample_size,pooled_point_mean,pooled_point_sd,pooled_lower_mean,pooled_lower_sd,pooled_upper_mean,pooled_upper_sd,bayes_predictive_lower_mean,bayes_predictive_lower_sd,bayes_predictive_upper_mean,bayes_predictive_upper_sd
gpt-5.4,5,0.5,0.0,0.19999999999999996,0.0,1.4999999999999993,2.223226821848096e-16,0.23567138789885209,0.00032448883918903765,1.0295412050954815,0.0013012216017230206
gpt-5.4,8,0.5,0.0,0.19999999999999996,0.0,1.4999999999999993,2.223226821848096e-16,0.26188691978420037,0.0002206535886742256,0.9338497392940438,0.0007323146348214474
gpt-5.4,10,0.5,0.0,0.19999999999999996,0.0,1.4999999999999993,2.223226821848096e-16,0.2713260087251104,0.00017959185506766202,0.9035025852841068,0.0005591713487160011
gpt-5.4,15,0.5,0.0,0.19999999999999996,0.0,1.5000000000000093,0.0,0.2835921511129829,9.244685537486503e-05,0.8668153777242138,0.00026566797807679266
gpt-5.4,20,0.5,0.0,0.19999999999999996,0.0,1.4999999999999993,2.223226821848096e-16,0.2892733889889372,0.0,0.8507850912906241,0.0
gpt-5.4-mini,5,0.49274999999999997,0.02552579902843593,0.09097912678448569,0.011144458003311488,1.870095613588748,0.33661288024396246,0.17418463208437043,0.01200225269090949,1.2900418853775428,0.08846764530417033
gpt-5.4-mini,8,0.49146875,0.019491675131606573,0.09015447941955564,0.00857409989197058,1.9246536420605378,0.28712578734994043,0.20041902018391375,0.009700615549044809,1.1286047060297415,0.05588751708450437
gpt-5.4-mini,10,0.4927125,0.015742439606423936,0.08910270872916268,0.007110014429331203,1.9529964631804482,0.23985401443683882,0.21076299355232564,0.008225226982769467,1.0841381557579766,0.043154344869956736
gpt-5.4-mini,15,0.49235833333333334,0.00868197590718964,0.08965585087334453,0.004040866262849956,2.0144996124738013,0.13743915726754866,0.2240786645501644,0.00477839381459776,1.021059054156717,0.02311622307279879
gpt-5.4-mini,20,0.4925,0.0,0.08985507246376809,0.0,2.010258531521006,0.0,0.2307551220985217,0.0,0.9934648431011803,0.0
gpt-5.4-nano,5,0.723425,0.03474965065365952,0.1755654169131298,0.027207331650929156,2.0889955698626057,0.1915163594525729,0.3066736603988298,0.018584017005428843,1.5975904068455768,0.0831601951667969
gpt-5.4-nano,8,0.7239687499999999,0.024007373260410265,0.17520680140822628,0.021074200081071814,2.131960542964962,0.1792629292308447,0.34576096871511086,0.013947656568349193,1.4359800601821144,0.050102605890147325
gpt-5.4-nano,10,0.723675,0.019899355161401566,0.17223819258342035,0.0158526093755473,2.1610703950983967,0.16630405860385375,0.35963047705160567,0.011894101762212943,1.3860134233195074,0.03887980466139834
gpt-5.4-nano,15,0.7247166666666667,0.011307097747965138,0.17241912456334707,0.010247152035399507,2.1957809805343094,0.11406430410979887,0.37927694263237044,0.006796250297381724,1.3223189501215042,0.022112140637321222
gpt-5.4-nano,20,0.725,0.0,0.17187499999999992,2.77903352731012e-17,2.2095170817357364,0.0,0.3888071085957403,0.0,1.2937730211002372,0.0
