run_index,request_id,prompt_tokens,completion_tokens,total_tokens,estimated_total_cost_usd
1,58121d4e-b826-99ae-837b-afa97088c33f,857,171,1028,0.0002648
2,0a2c1b82-c0ac-9f10-ba1c-5e22dd51397d,857,181,1038,0.0003047
3,34f31769-2256-9be3-b89e-5e9a18c259a4,857,171,1028,0.00029969999999999997
4,018e8d3f-6ba0-9c5b-b8c7-d8d956f1569e,857,185,1042,0.00030670000000000003
5,7443f67a-2c49-9432-8ded-f54e81c0dc7e,857,184,1041,0.0003062
6,d7090a2e-27ec-931a-8482-38a5106d54a4,857,177,1034,0.0003027
7,ae7c082e-36d2-9179-bad0-010dbc99939d,857,237,1094,0.0003327
8,a341ea49-f420-91cf-bbf6-9ce19b629298,857,165,1022,0.0002967
9,d0e458ca-c615-9236-ae2c-e5c720642173,857,179,1036,0.0003037
10,6fdd346f-679c-98fa-8867-eac3d4d575c0,857,176,1033,0.0003022
11,548aa7c5-5105-998c-a529-8cd9c4000742,857,172,1029,0.0003002
12,48a71110-8244-96dd-8607-9dc33c066b0c,857,175,1032,0.0003017
13,e06d6dc7-705d-99d3-9fdd-3e5d66edbaf9,857,163,1020,0.0002957
14,b59d302a-7ba2-977f-9a31-8d71447a257d,857,205,1062,0.0002818
15,fa0ca192-37b5-9eda-941a-b87e6c8417e2,857,154,1011,0.00029120000000000003
