source_label,model_name,quantity_id,n_successful_runs,pooled_point_estimate,pooled_90_interval,reml_predictive_90_interval,bayes_predictive_90_interval,usage_total_tokens_per_successful_run,usage_estimated_total_cost_usd_per_successful_run,source_dir
gpt-5.4-income-elasticity-batch15,gpt-5.4,labor_supply.income_elasticity.prime_age,15,-0.07200000000000001,"[-0.2917, 0.06598]","[-0.1857, 0.0456]","[-0.135, -0.001646]",288.6666666666667,0.0034433333333333334,/Users/maxghenis/llm-econ-beliefs/results/gpt-5.4-income-elasticity-batch15
gpt-5.4-mini-income-elasticity-batch15,gpt-5.4-mini,labor_supply.income_elasticity.prime_age,15,-0.06933333333333333,"[-0.2477, 0.08184]","[-0.1837, 0.04968]","[-0.1323, 0.001723]",282.0,0.001003,/Users/maxghenis/llm-econ-beliefs/results/gpt-5.4-mini-income-elasticity-batch15
gpt-5.4-nano-income-elasticity-batch15,gpt-5.4-nano,labor_supply.income_elasticity.prime_age,15,-0.04933333333333333,"[-0.344, 0.2575]","[-0.2445, 0.1422]","[-0.1789, 0.08445]",326.53333333333336,0.00033368666666666667,/Users/maxghenis/llm-econ-beliefs/results/gpt-5.4-nano-income-elasticity-batch15
claude-opus-4.6-income-elasticity-batch15,claude-opus-4.6,labor_supply.income_elasticity.prime_age,15,-0.1,"[-0.3, 1.11e-15]","[-0.2467, 0.03889]","[-0.1814, -0.02106]",1736.7333333333333,0.017838333333333335,/Users/maxghenis/llm-econ-beliefs/results/claude-opus-4.6-income-elasticity-batch15
claude-sonnet-4.6-income-elasticity-batch15,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,15,-0.1,"[-0.3498, 0.04631]","[-0.2832, 0.07121]","[-0.2014, -0.002431]",1767.4,0.011163000000000001,/Users/maxghenis/llm-econ-beliefs/results/claude-sonnet-4.6-income-elasticity-batch15
claude-haiku-4.5-income-elasticity-batch15,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,15,-0.09733333333333333,"[-0.34, 0.04973]","[-0.2476, 0.04852]","[-0.1816, -0.01183]",1660.0,0.0031880000000000003,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-income-elasticity-batch15
gemini-3.1-pro-preview-income-elasticity-batch15,gemini-3.1-pro-preview,labor_supply.income_elasticity.prime_age,15,-0.07,"[-0.2482, 0.0183]","[-0.1642, 0.03645]","[-0.1227, -0.002655]",1065.1333333333334,0.0083316,/Users/maxghenis/llm-econ-beliefs/results/gemini-3.1-pro-preview-income-elasticity-batch15
gemini-3-flash-preview-income-elasticity-batch15,gemini-3-flash-preview,labor_supply.income_elasticity.prime_age,15,-0.060000000000000005,"[-0.27, -3.586e-06]","[-0.1439, 0.03215]","[-0.1056, -0.004059]",739.6,0.0011063000000000002,/Users/maxghenis/llm-econ-beliefs/results/gemini-3-flash-preview-income-elasticity-batch15
gemini-3.1-flash-lite-preview-income-elasticity-batch15,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,15,-0.06666666666666667,"[-0.3515, 0.03794]","[-0.164, 0.04861]","[-0.1178, 0.005418]",854.0,0.00072475,/Users/maxghenis/llm-econ-beliefs/results/gemini-3.1-flash-lite-preview-income-elasticity-batch15
grok-4.20-income-elasticity-batch15,grok-4.20,labor_supply.income_elasticity.prime_age,13,-0.1,"[-0.3995, 0.1497]","[-0.3377, 0.1179]","[-0.2336, 0.02707]",2534.4615384615386,0.010968184615384615,/Users/maxghenis/llm-econ-beliefs/results/grok-4.20-income-elasticity-batch15
grok-4.1-fast-income-elasticity-batch15,grok-4.1-fast,labor_supply.income_elasticity.prime_age,15,-0.09666666666666668,"[-0.4985, 0.2859]","[-0.4509, 0.223]","[-0.2897, 0.09156]",1062.2666666666667,0.00031324,/Users/maxghenis/llm-econ-beliefs/results/grok-4.1-fast-income-elasticity-batch15
